,,,,
,,,,
,,,,
,,,,
Pos.,Giocatore,,Ruolo,PG
1,James Abankwah,,"Dif,Cen",6
2,Saud Abdulhamid,,Dif,3
3,Oliver Abildgaard,,Cen,1
4,Tammy Abraham,,Att,1
5,Tammy Abraham,,Att,17
6,Federico Accornero,,Cen,1
7,Francesco Acerbi,,Dif,9
8,Che Adams,,Att,22
9,Yacine Adli,,Cen,19
10,Vasilije Adžić,,"Cen,Att",3
11,Michel Aebischer,,Cen,7
12,Honest Ahanor,,Dif,2
13,Junior Ajayi,,Att,1
14,Jean-Daniel Akpa-Akpro,,"Cen,Dif",4
15,David Akpan Ankeye,,"Att,Cen",4
16,Faride Alidou,,"Att,Cen",3
17,Pontus Almqvist,,"Att,Cen",20
18,Giorgio Altare,,Dif,12
19,Sofyan Amrabat,,Cen,2
20,Angeliño,,Dif,23
21,Lorenzo Anghelè,,Att,1
22,Faustino Anjorin,,Cen,17
23,Marko Arnautović,,Att,7
24,Kristjan Asllani,,Cen,13
25,Arthur Atta,,Cen,13
26,Emil Audero,,Por,8
27,Tommaso Augello,,"Dif,Att",23
28,Carlos Augusto,,"Dif,Att",15
29,Yann Aurel Bisseck,,Dif,14
30,Paulo Azzi,,Dif,6
31,Oussama El Azzouzi,,Cen,1
32,Jacopo Bacci,,Cen,1
33,Milan Badelj,,Cen,19
34,Mitchel Bakker,,Cen,1
35,Tommaso Baldanzi,,"Cen,Att",17
36,Botond Balogh,,Dif,20
37,Mario Balotelli,,"Att,Cen",6
38,Lameck Banda,,"Att,Cen",10
39,Daniel Bandeira,,Cen,11
40,Mattia Bani,,Dif,14
41,Antonín Barák,,Cen,1
42,Federico Barba,,Dif,7
43,Nicolò Barella,,Cen,19
44,Davide Bartesaghi,,Dif,2
45,Federico Baschirotto,,Dif,23
46,Daniele Baselli,,Cen,2
47,Alessandro Bastoni,,Dif,21
48,Reda Belahyane,,Cen,22
49,Raoul Bellanova,,Dif,1
50,Raoul Bellanova,,Dif,21
51,Andrea Belotti,,Att,18
52,Lucas Beltrán,,"Cen,Att",18
53,Adrian Benedyczak,,"Att,Cen",8
54,Ismaël Bennacer,,Cen,6
55,Medon Berisha,,Cen,6
56,Adrian Bernabe,,Cen,11
57,Sam Beukema,,Dif,22
58,Alessandro Bianco,,Cen,19
59,Alessandro Bianco,,Cen,1
60,Jaka Bijol,,Dif,21
61,Cristiano Biraghi,,Dif,8
62,Samuele Birindelli,,"Dif,Cen",9
63,Bjarki Bjarkason,,"Dif,Cen",7
64,Emil Bohinen,,Cen,3
65,Warren Bondo,,Cen,20
66,Kevin Bonifazi,,Dif,3
67,Ange-Yoan Bonny,,Att,22
68,Edoardo Bove,,"Cen,Att",11
69,Domagoj Bradarić,,Dif,16
70,Matthias Braunöder,,Cen,8
71,Iker Bravo,,"Att,Cen",16
72,Gleison Bremer,,Dif,6
73,Brenner,,"Cen,Att",9
74,Marco Brescianini,,Cen,17
75,Tajon Buchanan,,"Dif,Att",6
76,Alessandro Buongiorno,,Dif,15
77,Rareș-Cătălin Burnete,,Att,2
78,Gianluca Busio,,Cen,20
79,Jean Butez,,Por,5
80,Liberato Cacace,,"Dif,Cen",19
81,Davide Calabria,,Dif,7
82,Luca Caldirola,,Dif,7
83,Hakan Çalhanoğlu,,Cen,14
84,Drissa Camara,,"Cen,Att",13
85,Francesco Camarda,,"Att,Cen",8
86,Nicolò Cambiaghi,,Att,2
87,Andrea Cambiaso,,"Dif,Att",21
88,Matteo Cancellieri,,"Att,Cen",21
89,Fali Candé,,Dif,2
90,Antonio Candela,,Dif,14
91,Gianluca Caprari,,"Cen,Att",22
92,Elia Caprile,,Por,4
93,Elia Caprile,,Por,4
94,Francesco Caputo,,Att,1
95,Maxence Caqueret,,Cen,4
96,Andrea Carboni,,Dif,18
97,Franco Carboni,,Dif,6
98,Marco Carnesecchi,,Por,21
99,Nicolò Casale,,Dif,7
100,Nicolò Casale,,Dif,2
101,Federico Cassa,,"Cen,Att",2
102,Valentín Castellanos,,Att,20
103,Santiago Castro,,Att,22
104,Gaetano Castrovilli,,Cen,1
105,Gaetano Castrovilli,,"Cen,Att",9
106,Danilo Cataldi,,Cen,13
107,Zeki Çelik,,Dif,20
108,Alberto Cerri,,Att,5
109,Gabriel Charpentier,,Att,10
110,Walid Cheddira,,Att,1
111,Leandro Chichizola,,Por,1
112,Samuel Chukwueze,,"Att,Cen",19
113,Aaron Ciammaglichella,,Cen,1
114,Alessandro Circati,,Dif,4
115,Alphadjo Cissè,,Cen,1
116,Patrick Ciurria,,"Cen,Dif",7
117,Saúl Coco,,Dif,21
118,Lorenzo Colombo,,"Att,Cen",23
119,Andrea Colpani,,"Att,Cen",20
120,Pietro Comuzzo,,Dif,20
121,Francisco Conceição,,Att,15
122,Diego Coppola,,Dif,20
123,Maxwel Cornet,,Att,2
124,Joaquín Correa,,"Att,Cen",5
125,Lassana Coulibaly,,Cen,23
126,Woyo Coulibaly,,Dif,14
127,Bryan Cristante,,Cen,16
128,Domen Črnigoj,,Cen,8
129,Juan Cuadrado,,"Dif,Cen",11
