Nome,Sq.,FM,MV,QUOT.,R.MANTRA,Presenze,Categoria
Cuadrado,Atalanta,6.17,6.0,6,E,11,Altro
Bakker,Atalanta,6.0,6.0,4,E,1,Altro
Pedersen,Torino,5.56,5.65,4,E,18,Altro
Dembele' A.,Torino,5.25,5.5,1,E,0,Altro
Kolo Muani,Juventus,11.75,7.25,19,Pc,2,Attaccanti
Correa,Inter,7.88,6.75,5,A,5,Attaccanti
Dominguez B.,Bologna,7.83,6.72,16,A,0,Attaccanti
Gabrielloni,Como,7.83,6.67,4,Pc,11,Attaccanti
Zapata D.,Torino,7.79,6.57,19,Pc,0,Attaccanti
Lambourde,Verona,7.75,6.25,2,A,4,Attaccanti
Vlahovic,Juventus,7.53,6.15,27,Pc,0,Attaccanti
Kvaratskhelia,Napoli,7.24,6.21,26,A,17,Attaccanti
Pellegri,Empoli,6.94,6.11,8,Pc,11,Attaccanti
Morata,Milan,6.88,6.09,20,Pc,16,Attaccanti
Odgaard,Bologna,6.82,6.16,19,A,20,Attaccanti
Pohjanpalo,Venezia,6.78,6.05,19,Pc,20,Attaccanti
Brenner,Udinese,6.75,5.92,7,A,9,Attaccanti
Noslin,Lazio,6.7,6.1,12,A,18,Attaccanti
Charpentier,Parma,6.67,6.17,9,Pc,10,Attaccanti
Davis K.,Udinese,6.64,6.09,10,Pc,0,Attaccanti
Pedro,Lazio,6.61,6.04,14,A,16,Attaccanti
Sarr A.,Verona,6.57,5.93,15,A,0,Attaccanti
Ekhator,Genoa,6.44,6.0,8,Pc,15,Attaccanti
Belotti,Como,6.42,5.96,10,Pc,18,Attaccanti
Bonny,Parma,6.39,5.98,15,Pc,22,Attaccanti
Ekuban,Genoa,6.31,5.94,6,A,8,Attaccanti
Caprari,Monza,6.26,5.97,11,A,22,Attaccanti
Haj Mohamed,Parma,6.22,6.0,8,A,0,Attaccanti
Gytkjaer,Venezia,6.21,5.79,4,Pc,0,Attaccanti
Arnautovic,Inter,6.2,6.1,5,Pc,0,Attaccanti
Okafor,Napoli,6.1,5.8,6,A,11,Attaccanti
Karamoh,Torino,6.09,6.0,8,A,18,Attaccanti
Raspadori,Napoli,6.08,5.67,4,A,12,Attaccanti
Pavoletti,Cagliari,6.06,5.81,6,Pc,16,Attaccanti
Cambiaghi,Bologna,6.0,6.0,2,A,2,Attaccanti
Maric,Venezia,6.0,6.0,1,Pc,0,Attaccanti
Mutandwa,Cagliari,6.0,6.0,2,Pc,3,Attaccanti
Raimondo,Venezia,6.0,6.0,1,Pc,9,Attaccanti
Vlahovic V.,Atalanta,6.0,6.0,1,Pc,0,Attaccanti
Ankeye,Genoa,6.0,6.0,1,Pc,4,Attaccanti
Njie,Torino,5.94,6.0,4,A,0,Attaccanti
Ekong,Empoli,5.94,5.94,4,A,15,Attaccanti
Vitinha O.,Genoa,5.92,5.81,5,Pc,0,Attaccanti
Rebic,Lecce,5.88,5.85,5,A,0,Attaccanti
Balotelli,Genoa,5.83,6.0,6,Pc,6,Attaccanti
Kouame',Empoli,5.82,5.79,5,A,0,Attaccanti
Camarda,Milan,5.8,5.8,3,Pc,8,Attaccanti
Pierini,Venezia,5.75,5.75,4,A,2,Attaccanti
Benedyczak,Parma,5.7,5.7,3,A,8,Attaccanti
Lapadula,Cagliari,5.7,5.75,3,Pc,12,Attaccanti
Solbakken,Empoli,5.65,5.69,2,A,14,Attaccanti
Burnete,Lecce,5.5,5.5,2,Pc,2,Attaccanti
Jovic,Milan,5.33,5.5,2,Pc,0,Attaccanti
Petagna,Monza,5.25,5.38,2,Pc,7,Attaccanti
Cerri,Como,5.17,5.17,2,Pc,5,Attaccanti
Masini,Genoa,7.17,6.17,4,C,11,Centrocampisti
Zerbin,Venezia,6.83,5.83,6,E/W,3,Centrocampisti
Zerbin,Venezia,6.83,5.83,6,E/W,2,Centrocampisti
Adli,Fiorentina,6.81,6.17,19,M/C,19,Centrocampisti
Cataldi,Fiorentina,6.79,6.04,11,M/C,13,Centrocampisti
Iling Junior,Bologna,6.75,6.0,5,W,0,Centrocampisti
Nicolussi Caviglia,Venezia,6.74,6.19,18,M/C,21,Centrocampisti
Hernani,Parma,6.7,6.13,14,C,15,Centrocampisti
McKennie,Juventus,6.5,6.06,14,M/C,17,Centrocampisti
Diao,Como,6.5,6.0,10,W/A,5,Centrocampisti
Pierotti,Lecce,6.5,5.95,12,W/A,22,Centrocampisti
Paredes,Roma,6.5,6.27,12,M/C,13,Centrocampisti
Vecino,Lazio,6.5,6.17,9,M/C,10,Centrocampisti
Berisha M.,Lecce,6.5,6.25,5,C/T,0,Centrocampisti
Helgason,Lecce,6.5,6.17,3,C/T,7,Centrocampisti
Mazzitelli,Como,6.44,6.0,8,M/C,11,Centrocampisti
Ciurria,Monza,6.43,5.93,9,E/W,7,Centrocampisti
Anjorin,Empoli,6.41,6.29,13,W/T,17,Centrocampisti
Harroui,Verona,6.4,5.95,7,W/T,10,Centrocampisti
Chukwueze,Milan,6.38,5.88,9,W/A,19,Centrocampisti
